NAMESPACE            NAME                                               READY   STATUS    RESTARTS        AGE    IP             NODE                       NOMINATED NODE   READINESS GATES
cilium-test-1        client-74b4888f5b-6t67f                            1/1     Running   0               165m   10.244.2.48    cilium-poc-worker          <none>           <none>
cilium-test-1        client2-75855f7dd4-l949t                           1/1     Running   0               165m   10.244.2.160   cilium-poc-worker          <none>           <none>
cilium-test-1        client3-59ffc4dd87-cxd7b                           1/1     Running   0               165m   10.244.1.192   cilium-poc-worker2         <none>           <none>
cilium-test-1        echo-other-node-74cccfcd95-k8hh6                   2/2     Running   12 (131m ago)   165m   10.244.1.28    cilium-poc-worker2         <none>           <none>
cilium-test-1        echo-same-node-8477864677-fkd6f                    2/2     Running   5 (161m ago)    165m   10.244.2.45    cilium-poc-worker          <none>           <none>
cilium-test-1        host-netns-h2tqc                                   1/1     Running   0               165m   10.89.0.5      cilium-poc-worker          <none>           <none>
cilium-test-1        host-netns-m7qq8                                   1/1     Running   0               165m   10.89.0.6      cilium-poc-worker2         <none>           <none>
cilium-test-ccnp1    client-ccnp-5d994b999b-j8g98                       1/1     Running   0               165m   10.244.2.73    cilium-poc-worker          <none>           <none>
cilium-test-ccnp2    client-ccnp-5d994b999b-cghw9                       1/1     Running   0               165m   10.244.2.9     cilium-poc-worker          <none>           <none>
demo                 backend-error-capable-5f89455bc8-c4mtc             1/1     Running   0               65m    10.244.1.212   cilium-poc-worker2         <none>           <none>
demo                 backend-error-capable-5f89455bc8-pbslc             1/1     Running   0               65m    10.244.2.49    cilium-poc-worker          <none>           <none>
demo                 error-generator-79846b7484-8dw9z                   1/1     Running   0               65m    10.244.2.197   cilium-poc-worker          <none>           <none>
demo                 isolated-pod-755f59b574-5lkpp                      1/1     Running   0               65m    10.244.2.10    cilium-poc-worker          <none>           <none>
demo                 policy-violator-56bfb9946c-nt22v                   1/1     Running   0               65m    10.244.2.27    cilium-poc-worker          <none>           <none>
demo                 restricted-service-65b444785d-6jfqs                1/1     Running   0               65m    10.244.2.23    cilium-poc-worker          <none>           <none>
kube-system          cilium-477nk                                       1/1     Running   0               169m   10.89.0.7      cilium-poc-control-plane   <none>           <none>
kube-system          cilium-7rp2j                                       1/1     Running   0               169m   10.89.0.5      cilium-poc-worker          <none>           <none>
kube-system          cilium-envoy-7wjl8                                 1/1     Running   0               169m   10.89.0.7      cilium-poc-control-plane   <none>           <none>
kube-system          cilium-envoy-c4sl7                                 1/1     Running   0               169m   10.89.0.6      cilium-poc-worker2         <none>           <none>
kube-system          cilium-envoy-g2ns2                                 1/1     Running   0               169m   10.89.0.5      cilium-poc-worker          <none>           <none>
kube-system          cilium-ngvnc                                       1/1     Running   0               169m   10.89.0.6      cilium-poc-worker2         <none>           <none>
kube-system          cilium-operator-7bcc97986f-zqpbx                   1/1     Running   0               169m   10.89.0.6      cilium-poc-worker2         <none>           <none>
kube-system          coredns-5d78c9869d-9gk72                           1/1     Running   0               169m   10.244.1.116   cilium-poc-worker2         <none>           <none>
kube-system          coredns-5d78c9869d-r42rw                           1/1     Running   0               169m   10.244.1.181   cilium-poc-worker2         <none>           <none>
kube-system          etcd-cilium-poc-control-plane                      1/1     Running   0               170m   10.89.0.7      cilium-poc-control-plane   <none>           <none>
kube-system          hubble-relay-f8d7c96d7-8mw5d                       1/1     Running   0               169m   10.244.1.228   cilium-poc-worker2         <none>           <none>
kube-system          hubble-ui-7bb7c5cd79-wwxgq                         2/2     Running   0               169m   10.244.1.115   cilium-poc-worker2         <none>           <none>
kube-system          kube-apiserver-cilium-poc-control-plane            1/1     Running   0               170m   10.89.0.7      cilium-poc-control-plane   <none>           <none>
kube-system          kube-controller-manager-cilium-poc-control-plane   1/1     Running   0               170m   10.89.0.7      cilium-poc-control-plane   <none>           <none>
kube-system          kube-scheduler-cilium-poc-control-plane            1/1     Running   0               170m   10.89.0.7      cilium-poc-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-6bc4bddd6b-r5cs6            1/1     Running   0               169m   10.244.1.159   cilium-poc-worker2         <none>           <none>
monitoring           packetbeat-6dqdw                                   1/1     Running   0               67m    10.89.0.6      cilium-poc-worker2         <none>           <none>
monitoring           packetbeat-gffph                                   1/1     Running   0               67m    10.89.0.5      cilium-poc-worker          <none>           <none>
