NAMESPACE       NAME                    TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                  AGE
cilium-test-1   echo-other-node         NodePort    10.108.159.102   <none>        8080:31301/TCP           165m
cilium-test-1   echo-same-node          NodePort    10.99.150.36     <none>        8080:30074/TCP           165m
default         kubernetes              ClusterIP   10.96.0.1        <none>        443/TCP                  170m
demo            backend-error-capable   ClusterIP   10.101.122.232   <none>        80/TCP                   65m
demo            restricted-service      ClusterIP   10.101.8.157     <none>        80/TCP                   65m
kube-system     cilium-envoy            ClusterIP   None             <none>        9964/TCP                 169m
kube-system     hubble-peer             ClusterIP   10.110.190.102   <none>        443/TCP                  169m
kube-system     hubble-relay            ClusterIP   10.101.224.106   <none>        80/TCP                   169m
kube-system     hubble-ui               ClusterIP   10.109.141.42    <none>        80/TCP                   169m
kube-system     kube-dns                ClusterIP   10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP   170m
